extends,延伸
versa,反之亦然
unified,统一
queried,查询
ease,缓解
temperature,温度
trick,特技
incompatible,不相容
scratch,刮
dangerous,危险的
recognize,认识
immediate,即时
arise,出现
measures,措施
consistency,一致性
demand,需求
deliver,交付
interactive,互动
plug-in,插入
interprets,解释
encountered,遇到
sooner,更早
reduced,降低
portability,可移植性
volume,体积
vanishes,消失
uninitialized,初始化
detailed,详细
nest,巢
inline,排队
specially,特别
preserve,保留
underscores,下划线
indicator,指示符
lvalue,左值
modulus,模量
seed,种子
suggesting,提示
numerical,数值
solely,独自
profiler,探查
integral-value,积分值
leaf,叶
alive,活
generation,代
stroustrup,斯特劳斯
interact,相互作用
encapsulation,封装
bother,烦
dependent,依赖
boardgame,桌上游戏
protector,保护
dinnerplate,餐盘
ensuring,保证
imposed,强加的
flute,长笛
misuse,滥用
indirection,间接
polymorphically,多态
bread,面包
cheese,起司
lettuce,生菜
boundary,边界
constrain,约束
violate,违反
suddenly,突然
evident,明显
isolate,隔离
configure,配置
repeatedly,反复
surround,环绕
discipline,学科
fleas,跳蚤
ral,拉尔
non-generic,非通用
resume,恢复
uncaught,未捕获
delivered,交付
splitting,分裂
mightiest,最强大的
herring,鲱鱼
delimiter,分隔符
waterproof,防水
shoots,芽
airfilter,空气过滤器
matrix,矩阵
iface,我面对
roof,屋顶
stub,存根
pretend,假装
cerulean,蔚蓝色
viridian,鲜绿色
performer,演员
vanilla,香草
swirl,漩涡
rum,朗姆酒
raisin,葡萄干
mod,国防部
lit,点亮
timed,定时
notifies,通知
swapping,交换
anns,人工神经网络
scrambled,加扰
driven,驱动
cooperative,合作
completion,完成
priorities,优先级
producer,制片人
toaster,烤面包机
engage,从事
scalefactor,比例因子
maxheight,最大高度
redraw,重绘
filechooser,文件选择
unicast,单播
multicast,多播
university,大学
heart,心
recommended,推荐的
commercial,商业
jakarta,雅加达
recently,最近
research,研究
understandable,可以理解的
treatment,治疗
claim,要求
preparation,制备
offers,优惠
content,内容
is-like-a,是样一个
rounding,四舍五入
promotion,推广
distinguishing,区分
method-call,方法调用
extensibility,可扩展性
strategies,策略
sinks,汇
meta-annotations,元注释
suites,套房
volatility,挥发性
optimistic,持乐观态度
quantities,数量
dropped,下降
candidate,候选人
traditionally,传统
brief,简要
notes,笔记
emphasis,重点
preserved,保存
venners,凡纳斯
programmed,程序
conference,会议
exposed,裸露
apparently,显然
official,官方
origin,起源
organize,组织
summarized,概括
identity,身份
commonality,共性
entity,实体
bookkeeping,簿记
inaccessible,无法访问
nicer,更好
expresses,表示
cooling,冷却
encapsulate,封装
manipulated,操纵
manner,方式
notably,值得注意的是
record,记录
separately,分别
presence,存在
problematic,有问题的
interacting,交互
weren,间没有
strictly,严格
vast,广大
trade-off,交易
majority,多数
responsiveness,响应
intranet,内联网
whereby,因此
unpredictable,不可预测的
identify,鉴别
subdirectories,子目录
referencing,引用
declaring,声明
emphasize,注重
emerge,出现
sometime,一段时间
subtraction,减法
multiplication,乘法
overwritten,覆盖
retains,保留
shorthand,速记
denoted,表示
post-increment,后递增
device,设备
digit,数字
creature,生物
sequentially,顺序
swallow,吞
series,系列
obviously,明显
demotion,降级
petals,花瓣
verification,验证
stop-and-copy,停止和复制
apparent,明显
mark-and-sweep,标记和清除
hotspot,热点
appropriately,适当
comma-separated,逗号分隔
refactor,重构
qualification,资格
archive,存档
qualifiers,预选赛
mutual,相互
chomp,格格
clarity,明晰
castille,卡斯蒂利亚
recursive,递归的
musical,音乐
poppet,提升
gizmo,小发明
dinosaur,恐龙
consistently,一致
inconsistent,不一致
strip,跳闸
trap,陷阱
parenthesized,括号
concert,音乐会
incomplete,不完整的
lowpass,低通
highpass,高通
bandpass,带通
menace,威胁
appended,追加
slip,滑
lighton,点亮
entities,实体
queuing,排队
traversed,走过
rags,碎布
modifiable,修改
cheap,便宜的
traversing,穿越
first-out,先出
maintained,保持
first-in,第一项
messaging,消息
submap,子图
tagging,标记
prepared,准备
exceptional,例外的
correctness,正确性
strike,罢工
unsuccessful,不成功
transition,过渡
spurious,伪
compensate,补偿
likelihood,可能性
mango,芒果
breve,短音
decimal,小数
dump,倾倒
react,反应
vertical,垂直
reluctant,舍不得
possessive,所有格
camelot,柯莱特
iterating,迭代
lonely,孤独
decompiler,反编译
unspecified,不确定的
crimson,赤红
magenta,品红
madder,茜草
phthalo,酞菁
ultramarine,群青
cobalt,钴
permanent,常驻
sap,树液
ochre,赭石
aisle,通道
reproduce,复制
clank,铮铮
woof,纬
praline,果仁
mud,泥
assertions,断言
modulo,模
lexicographic,字典
uniqueness,独特之处
headline,标题
unsynchronized,不同步
corresponds,相对应
refresh,刷新
categorize,分类
flush,齐平
-bit,位
flushing,冲洗
setout,出发
scramble,争夺
restored,恢复
compress,压缩
serializing,序列化
salad,沙拉
rinse,冲洗
postoffice,邮政局
unscannable,无法扫描
illegible,难以辨认
dime,十分钱
non-embedded,非嵌入式的
getword,朗朗上口
offsettable,偏移表
awakened,惊醒
grumpy,脾气暴躁
exclusion,排除
untimed,不计时
tearing,撕裂
jammer,干扰
horserace,赛马
expired,过期
humidity,湿度
drivetrain,动力传动系统
synch,同步
scroll,滚动
textfields,文本框
cascading,级联
mnemonics,助记符
tictactoe,井字游戏
headertext,标题文本
consultant,顾问
stuff,东西
impressed,印象深刻
regarding,关于
continually,不断
satisfying,满足
useless,无用
in-house,在内部
admittedly,无可否认
couple,一对
architect,建筑师
explanation,说明
comprehensive,全面
orientation,取向
bonus,奖金
insight,洞察力
philosophy,哲学
assumed,假定
incidental,偶然的
arising,产生
corporate,企业
mechanical,机械
likewise,同样
interchangeable,互换
touch,触摸
outward,向外
extractor,提取
compensating,补偿
contravariance,逆变
taxonomy,分类
improving,改进
pop-up,弹出
hit,击中
remarkably,显着
productive,生产力
bandwidth,带宽
time-consuming,耗时的
reflected,反映
applicable,适用
decent,体面
formerly,以前
justify,自圆其说
validate,验证
toolkit,工具包
emphasized,强调
aggregation,聚合
surprisingly,出奇
assistance,帮助
tuned,调整
crested,冠毛犬
butte,孤山
evolve,发展
offered,提供
isolation,隔离
structured,结构化的
evolved,进化
exclusively,只
correction,更正
automated,自动化
expressive,表现力
multiparadigm,多范例
analogy,比喻
parlance,的说法
substitutability,可替代性
magically,神奇
pull,拉
module,模块
computer-aided,计算机辅助
inspection,检查
expecting,期待
decouple,脱钩
associate,关联
moment,时刻
instruction,指令
dealt,处理
reliably,可靠
routines,例程
repository,库
propagate,传播
fetches,取
capability,能力
capable,能
seemed,看起来
robustness,鲁棒性
invent,发明
quoted,引
optionally,可选
hibernate,冬眠
accurate,准确
consult,请教
expense,费用
referenced,引用
clashing,冲突
literature,文献
versus,与
prompt,提示
appearing,出现
superseded,取代
operand,操作数
rvalue,右值
verified,验证
similarly,与此类似
pre-decrement,预减
post-decrement,后减
strict,严格
falsehood,谬误
logarithms,对数
invented,发明的
sensitive,敏感
superfluous,多余
opposite,相反
shifted,移动
right-shift,右移
demonstrating,演示
concatenate,串连
widening,扩大
evenly,均匀
suffer,遭受
adopted,采纳
conceptually,概念
semantics,语义
reclaim,回收
obscure,朦胧
adaptive,自适应
variant,变种
inefficient,效率低下
switches,切换
printable,打印
alternate,备用
restrict,限制
mild,温和
flaming,炽盛
affected,影响
comprise,包括
divide,划分
buried,埋葬
someplace,某个地方
unlikely,不太可能
searches,搜索
alternatively,或者
commenting,注释
accessor,访问
civilized,文明
icecream,冰淇淋
thereby,从而
collide,碰撞
midway,中途
nod,点头
inheritors,继承者
experimentation,实验
deeper,更深层
resolved,解决
unexpected,意外
recipe,食谱
playable,播放
disagreement,分歧
weighs,晕死
adventure,冒险
monster,怪物
differ,不同
abilities,能力
encapsulated,封装
justification,理由
inclusive,包括的
operates,运行
slight,轻微
preferable,优选的
self-explanatory,不言自明的
dupree,杜普雷
stinky,臭
fizzy,汽水
freckly,雀斑
annoying,烦人
headset,耳机
randomaccess,随机访问
recipient,接受者
catches,渔获
redirected,重定向
facility,设施
adjusted,调整
vendor,供应商
disposable,一次性的
desirable,可取的
worst,最糟糕的
examination,检查
chained,链
ironically,讽刺地
unacceptable,不能接受的
decompile,反编译
areturn,回报
alignment,对准
